round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,dropout,emb_output_dims,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shape,weight_regulizer
5,0.45276262656756794,0.7452272772789001,0.4526840805954297,0.7446642,relu,2,0.0,None,5,16,0,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.4555915443528108,0.7437373995780945,0.45258948264587595,0.74442786,relu,2,0.0,None,5,16,0,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.4554349230370014,0.7435606122016907,0.4527800785775395,0.7468657,relu,2,0.0,None,5,16,0,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.45701981589675533,0.7456565499305725,0.4524914715231487,0.7461816,relu,2,0.0,None,5,16,0,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.45554759131894323,0.7434343695640564,0.45318487387104334,0.7443159,relu,2,0.0,None,5,16,0,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.4557159156273455,0.7436363697052002,0.45307676537166813,0.74629354,relu,2,0.0,None,5,16,0,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.4546456089618821,0.7427020072937012,0.45203829511985033,0.74699,relu,2,0.0,None,5,16,0,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.45348074821594647,0.7456313371658325,0.45250385828170575,0.7466169,relu,2,0.0,None,5,16,0,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.4538015011812036,0.7441413998603821,0.45130068056678996,0.74537313,relu,2,0.0,None,5,16,1,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.4607888298172199,0.740353524684906,0.4514133000757316,0.7454353,relu,2,0.0,None,5,16,1,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.4530149571266931,0.7446717023849487,0.450238812555738,0.74675375,relu,2,0.0,None,5,16,1,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.45310714804005164,0.7448989748954773,0.45083430072632347,0.7467786,relu,2,0.0,None,5,16,1,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.4544678558577894,0.7459848523139954,0.45091284091044026,0.74666667,relu,2,0.0,None,5,16,1,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.450133412468208,0.7457828521728516,0.45064358921114434,0.7472388,relu,2,0.0,None,5,16,1,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.4537575889557404,0.744772732257843,0.4517031963740256,0.7465423,relu,2,0.0,None,5,16,1,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.451154153740662,0.7454798221588135,0.4515280682274451,0.7456468,relu,2,0.0,None,5,16,1,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.45288141581696995,0.7447980046272278,0.4510850579381898,0.7452612,relu,2,0.0,None,5,16,1,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.45210935820675846,0.7459595799446106,0.45100079013745936,0.7477114,relu,2,0.0,None,5,16,1,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.4566712148219368,0.7450000047683716,0.451869132155285,0.74600744,relu,2,0.0,None,5,16,2,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.45426712768350147,0.7451010346412659,0.4527484992172241,0.7452612,relu,2,0.0,None,5,16,2,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.4506418564138963,0.7451010346412659,0.4513968148734206,0.74672884,relu,2,0.0,None,5,16,2,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.45676143966928084,0.7430807948112488,0.45300489169045655,0.7448259,relu,2,0.0,None,5,16,2,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.4503232022193104,0.746666669845581,0.45128631663923613,0.747301,relu,2,0.0,None,5,16,2,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.45309072296194997,0.7451262474060059,0.45158668088415876,0.74606967,relu,2,0.0,None,5,16,2,sigmoid,binary_crossentropy,2.75,Adam,brick,None
5,0.45703663636146424,0.7450252771377563,0.45163276672410935,0.7463184,relu,2,0.0,None,5,16,2,sigmoid,binary_crossentropy,3.1999999999999997,Adam,brick,None
5,0.4524919166895024,0.743661642074585,0.45248910290493866,0.7438682,relu,2,0.0,None,5,16,2,sigmoid,binary_crossentropy,3.6499999999999995,Adam,brick,None
5,0.4532565018954348,0.7440909147262573,0.4523483198667235,0.7458955,relu,2,0.0,None,5,16,2,sigmoid,binary_crossentropy,4.1,Adam,brick,None
5,0.45190949287102944,0.7441666722297668,0.45209382552056526,0.74604475,relu,2,0.0,None,5,16,2,sigmoid,binary_crossentropy,4.55,Adam,brick,None
5,0.4523321832545729,0.7445201873779297,0.4528165336805701,0.7458831,relu,2,0.0,None,5,32,0,sigmoid,binary_crossentropy,0.5,Adam,brick,None
5,0.4536069229449099,0.7442424297332764,0.45224041454762665,0.7440672,relu,2,0.0,None,5,32,0,sigmoid,binary_crossentropy,0.95,Adam,brick,None
5,0.4544710701192475,0.7452525496482849,0.4525518736378782,0.74676615,relu,2,0.0,None,5,32,0,sigmoid,binary_crossentropy,1.4,Adam,brick,None
5,0.4566356180796242,0.7427272796630859,0.4528804099716035,0.74590796,relu,2,0.0,None,5,32,0,sigmoid,binary_crossentropy,1.8499999999999999,Adam,brick,None
5,0.4551183199405548,0.7437878847122192,0.45213853047963876,0.7461567,relu,2,0.0,None,5,32,0,sigmoid,binary_crossentropy,2.3,Adam,brick,None
5,0.45620134184648986,0.7435353398323059,0.45175666102364287,0.74531096,relu,2,0.0,None,5,32,0,sigmoid,binary_crossentropy,2.75,Adam,brick,None
